razao,endereco,bairro,cidade,endereço,longitude,latitude
AUTO POSTO MACPETRO LTDA,"RUA DOUTOR ALVARO CAMARGOS, 2216",Santa Monica,Belo Horizonte,"Rua Dr. Álvaro Camargos, 2216 - Santa Monica, Belo Horizonte - MG, 31515-000, Brazil",-43.9688247,-19.8270802
COMERCIAL DE PETROLEO VILARINHO LTDA,"AVENIDA VILARINHO, 1691",Venda Nova,Belo Horizonte,"Av. Vilarinho, 1691 - Venda Nova, Belo Horizonte - MG, 31615-250, Brazil",-43.9571443,-19.8139993
DGET COMBUSTIVEIS EIRELI,"RUA DOS ASTECAS, 2930",Santa Monica,Belo Horizonte,"R. dos Astecas, 2930 - Santa Monica, Belo Horizonte - MG, 31530-300, Brazil",-43.9793432,-19.8299338
AUTO POSTO VALE LTDA,"AVENIDA VILARINHO, 1146",Venda Nova,Belo Horizonte,"Av. Vilarinho, 1146 - Venda Nova, Belo Horizonte - MG, 31610-070, Brazil",-43.9530213,-19.8170585
AUTO POSTO RIO BRANCO LTDA,"AVENIDA BERNARDA SILVESTRE, 115",Rio Brancoi,Belo Horizonte,"Av. Bernarda Silvestre, 115 - Rio Branco, Belo Horizonte - MG, 31535-210, Brazil",-43.98318,-19.816404
POSTO GABI LTDA,"AVENIDA VILARINHO, 2300",Venda Nova,Belo Horizonte,"Av. Vilarinho, 2300 - São Pedro Venda Nova, Belo Horizonte - MG, 31615-250, Brazil",-43.9613899,-19.8118494
POSTO CENTER NORTE LTDA,"AVENIDA VILARINHO, 5360",Venda Nova,Belo Horizonte,"Av. Vilarinho, 5360 - Mantiqueira, Belo Horizonte - MG, 31615-250, Brazil",-43.9827714,-19.8028279
POSTO ANTUNES LTDA,"AVENIDA PORTUGAL, 2603",Santa Amelia,Belo Horizonte,"Av. Portugal, 2603 - Santa Amelia, Belo Horizonte - MG, 31560-000, Brazil",-43.9721677,-19.8454045
POSTO CHAVES LTDA,"AVENIDA PORTUGAL, 2061",Santa Amelia,Belo Horizonte,"Av. Portugal, 2061 - Santa Amelia, Belo Horizonte - MG, 31555-000, Brazil",-43.9782228,-19.8458024
POSTO TUNEL LTDA,"AVENIDA CRISTIANO MACHADO, 71",Floresta,Belo Horizonte,"Av. Cristiano Machado, 71 - Colégio Batista, Belo Horizonte - MG, 31110-235, Brazil",-43.9369912,-19.9051393
POSTO ARAUJO COMERCIO E DISTRIBUICAO DE COMBUSTIVEIS E LUBRIFICANTES LTDA.,"AVENIDA AMERICO VESPUCIO, 809",Aparecida,Belo Horizonte,"Av. Américo Vespúcio, 809 - Parque Riachuelo, Belo Horizonte - MG, 31230-240, Brazil",-43.95731,-19.8915
ORGANIZACOES GUALBERTO LTDA - EPP,"RUA MARIA GERTRUDES SANTOS, 293",Ceu Azul,Belo Horizonte,"R. Maria Gertrúdes Santos, 293 - Céu Azul, Belo Horizonte - MG, 31578-300, Brazil",-44.0008026,-19.8179479
POSTO UNIAO LTDA,"AVENIDA DOM PEDRO I, 3880",Vnda Nova,Belo Horizonte,"Av. Dom Pedro I, 3880 - Planalto, Belo Horizonte - MG, 30720-460, Brazil",-43.9520183,-19.8210844
POSTO JOCA LTDA,"AV. ANTONIO JOSE DOS SANTOS,609, S/N",Ceu Azul,Belo Horizonte,"R. Antônio José dos Santos, 609 - S/N - Céu Azul, Belo Horizonte - MG, 31580-000, Brazil",-43.99738550000001,-19.819634
DELMA - COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA VILARINHO, 3353",Leticia Distrito de Venda Nova,Belo Horizonte,"Av. Vilarinho, 3353 - Venda Nova, Belo Horizonte - MG, 31615-250, Brazil",-43.9705696,-19.8068148
POSTO CATEDRAL LTDA,"AVENIDA CRISTIANO MACHADO, 11100",Vila Cloris,Belo Horizonte,"Av. Cristiano Machado, 11100 - Floramar, Belo Horizonte - MG, 31742-278, Brazil",-43.94299220000001,-19.8262392
POSTO CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 8665",Dona Clara,Belo Horizonte,"Av. Cristiano Machado, 8665 - Vila Suzana, Belo Horizonte - MG, 31260-333, Brazil",-43.933962,-19.8603046
POSTO MARIO WERNECK LIMITADA,"AVENIDA CRISTIANO MACHADO, 9292",Dona Clara,Belo Horizonte,"Av. Cristiano Machado, 9292 - Minaslandia, Belo Horizonte - MG, 31810-280, Brazil",-43.9338041,-19.8514824
GAS BRAS LTDA,"RODOVIA PAPA JOAO PAULO II, 400",Satelite,Belo Horizonte,"Rod. Papa João Paulo II, 400 - Serra Verde, Belo Horizonte - MG, 31610, Brazil",-43.9502697,-19.8060201
AUTO POSTO MENDONCA LTDA,"AVENIDA CRISTIANO MACHADO, 2506",Cidade Nova,Belo Horizonte,"Av. Cristiano Machado, 2506 - Vila Suzana, Belo Horizonte - MG, 31260-500, Brazil",-43.9288697,-19.8852496
POSTO BOA ESPERANCA LTDA.,"RODOVIA PAPA JOAO PAULO II, 3031",Serra Verde,Belo Horizonte,"Rod. Papa João Paulo II, 3031 - Serra Verde, Belo Horizonte - MG, 31630-369, Brazil",-43.9501701,-19.8037797
POSTO TATIANA LTDA,"AVENIDA PEDRO I, 468",Jardim Atlantico,Belo Horizonte,"Av. Dom Pedro I, 468 - Santa Branca, Belo Horizonte - MG, 31744-002, Brazil",-43.96681,-19.84028
GNV SETE BELO LTDA,"AVENIDA CRISTIANO MACHADO, 8898",Minaslandia,Belo Horizonte,"Av. Cristiano Machado, 8898 - Primeiro de Maio, Belo Horizonte - MG, 31812-112, Brazil",-43.93470809999999,-19.856525
POSTO BRUNINHA LTDA,"AVENIDA DOM PEDRO I, 1680",Itapoa,Belo Horizonte,"Av. Dom Pedro I, 1680 - Itapoã, Belo Horizonte - MG, 31710-000, Brazil",-43.9630032,-19.8325782
POSTO CM LTDA,"AVENIDA CRISTIANO MACHADO, 3050 0",União,Belo Horizonte,"Av. Cristiano Machado, 3050 - União, Belo Horizonte - MG, 31160-380, Brazil",-43.9287876,-19.8781517
SOCIEDADE COMERCIAL CANAA LTDA,"RODOVIA PAPA JOAO PAULO II, 3614",Canaa,Belo Horizonte,"Rod. Papa João Paulo II, 3614 - Canaa, Belo Horizonte - MG, 31749-060, Brazil",-43.9483719,-19.7890748
POSTO MINAS SHOPPING LTDA,"AVENIDA CRISTIANO MACHADO, 3400",Uniao,Belo Horizonte,"Av. Cristiano Machado, 3400 - Vila Suzana, Belo Horizonte - MG, 31160-342, Brazil",-43.9286466,-19.8774541
POSTO DE COMBUSTIVEL PASSARELA LTDA,"AVENIDA CRISTIANO MACHADO, 2525",Silveira,Belo Horizonte,"Av. Cristiano Machado, 2525 - Vila Suzana, Belo Horizonte - MG, 31260-500, Brazil",-43.9295761,-19.8863785
POSTO WAP CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 9434",Minaslandia (p Maio),Belo Horizonte,"Av. Cristiano Machado, 9434 - Vila Suzana, Belo Horizonte - MG, 31812-112, Brazil",-43.932656,-19.849248
POSTO CAMOES LTDA,"AVENIDA PORTUGAL, 4611",Itapoa,Belo Horizonte,"Av. Portugal, 4611 - Itapoã, Belo Horizonte - MG, 31710-400, Brazil",-43.9594348,-19.843379
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,Belo Horizonte,"Av. Cristiano Machado, 10025 - Vila Suzana, Belo Horizonte - MG, 31741-465, Brazil",-43.935299,-19.8418231
POSTO SAO BERNARDO LTDA,"AVENIDA CRISTIANO MACHADO, 9505",Dona Clara,Belo Horizonte,"Av. Cristiano Machado, 9505 - Dona Clara, Belo Horizonte - MG, 31741-401, Brazil",-43.9330416,-19.8476655
POSTO CN LTDA,"AVENIDA CRISTIANO MACHADO, 1383",Da Graca,Belo Horizonte,"Av. Cristiano Machado, 1383 - Vila Suzana, Belo Horizonte - MG, 31140-020, Brazil",-43.928112,-19.8976844
POSTO ENTRADA OBRIGATÓRIA LTDA,"AVENIDA PORTUGAL, 4260",Jardim Atlântico,Belo Horizonte,"Av. Portugal, 4260 - Jardim Atlântico, Belo Horizonte - MG, 31710-600, Brazil",-43.96224910000001,-19.8431174
POSTO GUARAPARI LTDA,"AVENIDA GUARAPARI, 1201 LOTE 15 E 16",Santa Amelia,Belo Horizonte,"Av. Guarapari, 1201 - LOTE 15 E 16 - Santa Amelia, Belo Horizonte - MG, 31560-300, Brazil",-43.975167,-19.835763
POSTO SANTO ONOFRE LTDA,"RUA ERICO VERISSIMO, 1645",Santa Monica,Belo Horizonte,"R. Érico Veríssimo, 1645 - Santa Monica, Belo Horizonte - MG, 31520-395, Brazil",-43.976673,-19.817168
