razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO MIRAGEM LTDA,"AVENIDA AMINTAS JACQUES MORAIS, 2065",Patrocinio,Belo Horizonte,"R. Pouso Alegre, 1500 - Floresta, Belo Horizonte - MG, 31015-184, Brazil",-43.9252448,-19.9123999
POSTO DO PAPAI LTDA,"RUA POUSO ALEGRE, 1500",Floresta,Belo Horizonte,"Av. Pres. Tancredo Neves, 3574 - Paquetá, Belo Horizonte - MG, 31330-472, Brazil",-43.99204779999999,-19.8775205
AUTO POSTO VEM K LTDA,"AVENIDA PRESIDENTE TANCREDO NEVES, 3574",Paqueta,Belo Horizonte,"Rod. Camilo Teixeira da Costa - Tupi B, Belo Horizonte - MG, 31844, Brazil",-43.9148459,-19.8437076
COMERCIAL DIAS VIEIRA LTDA,"RODOVIA CAMILO TEIXEIRA DA COSTA, 555",Tupi B,Belo Horizonte,"Av. Pres. Antônio Carlos, 3550 - Cachoeirinha, Belo Horizonte - MG, 31150-032, Brazil",-43.95102,-19.8808979
POSTO COELHO LTDA,"AVENIDA ANTONIO CARLOS, 3550",Cachoeirinha,Belo Horizonte,"Rua Izabel Bueno, 20 - Jaraguá, Belo Horizonte - MG, 31270-030, Brazil",-43.94916389999999,-19.8697003
JR COMERCIO E PRESTACAO DE SERVICOS LTDA,"RUA IZABEL BUENO, 20",Universitario,Belo Horizonte,"Av. Heráclito Mourão de Miranda, 1851 - Santa Terezinha, Belo Horizonte - MG, 31365-203, Brazil",-44.005344,-19.877917
POSTO SAO PAULO ATLANTIDA LTDA,"AVENIDA HERACLITO MOURAO DE MIRANDA, 1851 0",Serrano,Belo Horizonte,"Rua Sena Madureira, 390 - Ouro Preto, Belo Horizonte - MG, 31340-000, Brazil",-43.9872838,-19.8738524
EVE EMPREENDIMENTOS LTDA,"RUA SENA MADUREIRA, 390",Ouro Preto,Belo Horizonte,"Av. Gen. Olímpio Mourão Filho, 835 - Planalto, Belo Horizonte - MG, 31710-690, Brazil",-43.9560177,-19.8343625
CENTRO AUTOMOTIVO FALCAO LTDA - EPP,"AVENIDA GAL OLIMPIO MOURA FILHO, 835",Planalto,Belo Horizonte,"Av. Dr. Cristiano Guimarães, 2329 - Planalto, Belo Horizonte - MG, 31720-300, Brazil",-43.95098549999999,-19.8397819
POSTO CHAVES LTDA - ME,"AVENIDA PORTUGAL, 2061",Santa Amelia,Belo Horizonte,"R. Maria Amélia Maia, 780 - São Tomaz, Belo Horizonte - MG, 31741-308, Brazil",-43.943082,-19.8456909
PLANALTO POSTO DE SERVIÇO LTDA,"AVENIDA DOUTOR CRISTIANO GUIMARÃES, 2329",Planalto,Belo Horizonte,"Av. Presidente Carlos Luz, 4055 - Engenho Nogueira, Belo Horizonte - MG, 31310-250, Brazil",-43.9777618,-19.8749206
POSTO MARIA AMELIA LTDA,"RUA MARIA AMELIA MAIA, 780",Sao Bernardo,Belo Horizonte,"Av. do Contorno, 9008 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil",-43.9568743,-19.92967
CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 4055 PARTE",Engenheiro Nogueira,Belo Horizonte,"Rua dos Tupinambás, 115 - Centro, Belo Horizonte - MG, 30140-061, Brazil",-43.93551950000001,-19.9187618
POSTO PIO XII LTDA.,"AVENIDA DO CONTORNO, 9008",Santo Agostinho,Belo Horizonte,"Av. Dom Pedro II, 930 - Carlos Prates, Belo Horizonte - MG, 30710-010, Brazil",-43.9525061,-19.9138918
POSTO VILA ESTACAO LTDA,"RUA DOS TUPINAMBAS, 115",Centro,Belo Horizonte,"R. Conceição do Mato Dentro, 335 - Ouro Preto, Belo Horizonte - MG, 31310-240, Brazil",-43.9795869,-19.8717594
ABRAS COMERCIO DE COMBUSTIVEL E VEICULOS LTDA,"AVENIDA PEDRO II, 930",Bonfim,Belo Horizonte,"Av. Presidente Carlos Luz, 451 - Alto Caiçaras, Belo Horizonte - MG, 30770-560, Brazil",-43.9648137,-19.9050907
ECO EMPREENDIMENTOS COMERCIAIS LTDA,"RUA CONCEICAO DO MATO DENTRO, 335",Ouro Preto,Belo Horizonte,"Av. Presidente Carlos Luz, 2263 - São Francisco de Assis, Belo Horizonte - MG, 31250-010, Brazil",-43.9660624,-19.8914557
GILBO COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 451",Caiçara,Belo Horizonte,"Av. Dom Pedro II, 3038 - Caiçaras, Belo Horizonte - MG, 30720-460, Brazil",-43.9696602,-19.9114618
POSTO BARBOSA LTDA,"AVENIDA PRES CARLOS LUZ, 2263",Sao Francisco Assis,Belo Horizonte,"Av. Amazonas, 4594 - Nova Suíça, Belo Horizonte - MG, 30180-001, Brazil",-43.9750569,-19.9292042
POSTO MONTE SANTO LTDA,"AVENIDA DOMPEDRO II, 3038",Caicara,Belo Horizonte,"Av. Pres. Tancredo Neves, Belo Horizonte - MG, Brazil",-43.9937859,-19.8872874
POSTO R.E.M. LTDA,"AVENIDA AMAZONAS, 4594",Nova Suiça,Belo Horizonte,"Av. do Contorno, 9645 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil",-43.9582244,-19.9242204
POSTO MANACAS LTDA,"AVENIDA PRES TANCREDO NEVES, 1095 LOTE 73 74 Q.62",Castelo,Belo Horizonte,"R. Pará de Minas, 821 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil",-43.9886784,-19.9146669
TIC TAC DERIVADOS DE PETROLEO LTDA,"AVENIDA DO CONTORNO, 9645",Prado,Belo Horizonte,"Av. Dom Pedro I, 2355 - Venda Nova, Belo Horizonte - MG, 31515-300, Brazil",-43.9575726,-19.8261837
POSTO PROGRESSO LTDA,"RUA PARA DE MINAS, 1080 0",Padre Eustáquio,Belo Horizonte,"Av. Dom Pedro I, 2177 - Vila São João Batista, Belo Horizonte - MG, 31744-002, Brazil",-43.9598072,-19.8273317
POSTO POETA LTDA,"AVENIDA DOM PEDRO I, 2355",Sao Joao Batista,Belo Horizonte,"Av. Pres. Antônio Carlos, 7585 - Lagoinha, Belo Horizonte - MG, 31210-800, Brazil",-43.9607975,-19.856574
CELT -COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"AVENIDA DOM PEDRO I, 2177 LETRA A",Sao Joao Batista,Belo Horizonte,"Av. Pres. Antônio Carlos, 2710 - Cachoeirinha, Belo Horizonte - MG, 31130-191, Brazil",-43.9500675,-19.8884356
POSTO COLIBRI LTDA,"AVENIDA ANTONIO CARLOS, 7585",Pampulha,Belo Horizonte,"Av. Pres. Antônio Carlos, 7826 - Lagoinha, Belo Horizonte - MG, 31210-800, Brazil",-43.9623538,-19.8516229
MINEIRAO POSTO DE SERVICOS LTDA,"AVENIDA PRES ANTONIO CARLOS, 2710",Parque Riachuelo,Belo Horizonte,"Av. Pres. Antônio Carlos, 7400 - Pampulha, Belo Horizonte - MG, 31275-010, Brazil",-43.9595169,-19.8582213
POSTO DE COMBUSTIVEIS VILA COMETA LTDA,"AVENIDA PRESIDENTE ANTONIO CARLOS, 7826",Pampulha,Belo Horizonte,"Av. Pres. Antônio Carlos, 6640 - Pampulha, Belo Horizonte - MG, 31210-800, Brazil",-43.9623713,-19.851881
POSTO POLE POSITION LTDA,"AVENIDA PRESIDENTE ANTONIO CARLOS, 7400",Aeroporto,Belo Horizonte,"Av. Sebastião de Brito, 1037 - Dona Clara, Belo Horizonte - MG, 31260-000, Brazil",-43.9385188,-19.8610365
POSTO TROPICO LTDA,"AVENIDA ANTONIO CARLOS, 6640",Pampulha,Belo Horizonte,"Rua Izabel Bueno, 139 - Jaraguá, Belo Horizonte - MG, 31270-030, Brazil",-43.9507193,-19.8679462
CCC GAS VEICULAR LTDA,"AVENIDA SEBASTIAO DE BRITO, 1037",Dona Clara,Belo Horizonte,"Av. Serrana, 750 - Serrano, Belo Horizonte - MG, 30882-370, Brazil",-44.0118048,-19.8788179
POSTO LUPUS ISABEL BUENO LTDA.,"AVENIDA IZABEL BUENO, 139",Vila Iandaia,Belo Horizonte,,,
POSTO SARAMENHA LTDA,"AVENIDA SERRANA, 750",Serrano,Belo Horizonte,,,
