razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEROS, 256",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,3.699,-,-,-,05/03/2020,diesel,Contagem,1081
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,IPIRANGA,3.699,-,-,-,05/03/2020,diesel,Contagem,1081
POSTO ODEON LTDA,"AVENIDA DO CONTORNO, 1550",Floresta,BRANCA,4.498,4317,CIF,PETRONAC,30/12/2019,gasolina,Belo Horizonte,1072
POSTO NIGHT AND DAY LTDA,"AVENIDA BARÃO HOMEM DE MELO, 400",Jardim América,BRANCA,4.595,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
COMERCIAL RACOL LTDA,"AVENIDA BRIGADEIRO EDUARDO GOMES, 1980",Gloria,BRANCA,4.5969999999999995,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO SAO JOAO COMB E LUBR LTDA,"RUA DESEMBARGADOR BARCELOS, 196",Calafate,RAIZEN,4.655,4371,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
AUTO POSTO XANATAM LTDA,"RODOVIA RODOVIA MG 5, 765",Goiania,IPIRANGA,4.658,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
AUTO POSTO INHUMAS LTDA,"RUA DAS CLARINETAS, 23",Conjunto California,PETROBRAS DISTRIBUIDORA S.A.,4.659,4434,CIF,-,02/01/2020,gasolina,Belo Horizonte,1072
PANORAMA COMERCIO DE COMBUSTIVEIS LTDA - ME,"RODOVIA BR 040, 1000 KM 1",Califórnia,IPIRANGA,4.659,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
SAO FRANCISCO PARTICIPACOES TRANSPORTES E SERVICOS LTDA,"RUA MAJOR DELFINO DE PAULA, 2745",Sao Francisco,RAIZEN,4.678999999999999,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO ABASTECA AQUI ANEL LTDA - EPP,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 15600",Caicaras,RAIZEN,4.695,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO BARAO DE MELO LTDA,"AVENIDA BARAO HOMEM DE MELO, 827",Nova Granada,PETROBRAS DISTRIBUIDORA S.A.,4.695,4420,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO TIGRE LTDA,"AVENIDA BRASIL, 401",Funcionários,RAIZEN,4.695,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO BALUARTE LTDA,"BR. 262 - KM 24,5, S/N KM 24,5",Maria Goreti,RAIZEN,4.695,4413,CIF,-,02/01/2020,gasolina,Belo Horizonte,1072
AUTO POSTO MAQUINE LTDA,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 3605",Vila Bernadeti (barreiro),PETROBRAS DISTRIBUIDORA S.A.,4.697,4416,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO BATISTAO LIMITADA,"RUA DESEMBARGADOR REIS ALVES, 880",B. das Industrias,RAIZEN,4.698,4480,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO BRUNA LTDA.,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 11333",Dom Bosco,IPIRANGA,4.699,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
COMERCIO DE COMBUSTIVEIS ALEX LTDA,"RUA GONCALVES DIAS, 520",Funcionarios,IPIRANGA,4.699,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO ASSIS LTDA,"RODOVIA BR 262, S/N KM 26",Dom Silverio,IPIRANGA,4.699,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO ARAPONGA LTDA,"AVENIDA BRASIL, 909",Santa Efigenia,IPIRANGA,4.699,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO CARIJO LTDA,"RODOVIA BR 262, S/N KM 04",Engenho Nogueira,RAIZEN,4.699,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO ESTEVES LTDA,"RODOVIA MG-5, 750 LETRA: A;",Ipe,RAIZEN,4.699,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
AUTO POSTO VERONA EIRELI,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 23759",Dom Silverio,IPIRANGA,4.728,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
POSTO CURIANGO LTDA.,"RODOVIA BR 262, S/N KM 07",Gorduras,BRANCA,4.739,-,-,-,02/01/2020,gasolina,Belo Horizonte,1072
BARRABELA AUTO POSTO LTDA.,"RODOVIA BR 356, S/N KM 7,5",Olhos D'agua,RAIZEN,4.798,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO BOM BOM LTDA,"AVENIDA CONTORNO, 2694",Santa Efigenia,IPIRANGA,4.7989999999999995,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO TOCANTINS LTDA,"AVENIDA DO CONTORNO, 1955",Floresta,PETROBRAS DISTRIBUIDORA S.A.,4.848,4398,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO MANGABEIRAS LTDA,"RUA AFONSO PENA, 4321",Mangabeiras,IPIRANGA,4.849,4441,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
W. R. SIMONE COMERCIAL LTDA.,"AVENIDA BARÃO HOMEM DE MELO, 3000",Estoril,RAIZEN,4.855,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO VICA LTDA,"AVENIDA RAJA GABAGLIA, 5001",Santa Lucia,PETROBRAS DISTRIBUIDORA S.A.,4.857,4413,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO AEL SAO JOSE LTDA,"RUA RIO GRANDE DO NORTE, 1204",Funcionarios,PETROBRAS DISTRIBUIDORA S.A.,4.857,4422,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO SANTA LUCIA LTDA,"RODOVIA BR-356, 520",Sion,PETROBRAS DISTRIBUIDORA S.A.,4.857,4416,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO HUGO WERNECK LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 1925",Carmo Sion,PETROBRAS DISTRIBUIDORA S.A.,4.857,4352,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO MAURITANIA LTDA,"RUA DO URUGUAI, 86",Sion,BRANCA,4.857,4399,CIF,IPIRANGA,30/12/2019,gasolina,Belo Horizonte,1072
MM - COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA GRAO MOGOL, 953-A",Sion,PETROBRAS DISTRIBUIDORA S.A.,4.857,4416,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO PONTE NOVA LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 450",Carmo,RAIZEN,4.8580000000000005,4412,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO OURO FINO LIMITADA,"RUA PIUM I, 260",Cruzeiro,IPIRANGA,4.869,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO CHICAGO LTDA.,"RUA DO URUGUAI, 835",Sion,ALESAT,4.897,4451,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO GRAJAU LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 756",Sao Pedro,IPIRANGA,4.899,4447,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
BEL POSTO LTDA,"RUA DAS PRINCESAS, 367",Jardinopolis,IPIRANGA,4.996,-,-,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO PONTEIO LTDA.,"RODOVIA BR 356, 20 KM 04",Santa Lucia,ALESAT,4.997,4444,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
PETROBEL LTDA,"AVENIDA BERNARDO MONTEIRO, 1339",Funcionários,PETROBRAS DISTRIBUIDORA S.A.,5.058,4421,CIF,-,30/12/2019,gasolina,Belo Horizonte,1072
POSTO LONDRINA LTDA,"RUA JAVARI, 195",Sao Cristovao,BRANCA,4.544,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO BAHAMA'S LTDA,"AVENIDA SILVIANO BRANDAO, 796",Floresta,IPIRANGA,4.548,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO GLORIA,"RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 957",Nossa Senhora da Gloria,BRANCA,4.5489999999999995,-,-,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO DE COMBUSTIVEIS ZEUS LTDA,"RUA PARA DE MINAS, 320",Padre Eustaquio,BRANCA,4.5489999999999995,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO JAVARI EIRELI,"RUA DESCALVADO, 661",Cachoeirinha,BRANCA,4.555,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO WAP LTDA,"AVENIDA PEDRO II, 4091",Vila Futuro,RAIZEN,4.577,4459,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
DIALA PETROLEO LTDA,"RUA POUSO ALEGRE, 1075",Floresta,BRANCA,4.579,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO SAGRADA FAMILIA EIRELI,"RUA CONSELHEIRO LAFAIETE, 1380",Sagrada Familia,BRANCA,4.5969999999999995,4357,CIF,TDC DISTRIBUIDORA,07/01/2020,gasolina,Belo Horizonte,1073
POSTO RC LTDA,"AVENIDA SANTA TEREZINHA, 620",Itatiaia,RAIZEN,4.599,4364,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO MARTE LTDA,"RUA JACUI, 1712",Graca,BRANCA,4.599,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
CENCOSUD BRASIL COMERCIAL LTDA,"RUA PARA DE MINAS, 788 ANEXO: 01;",Padre Eustaquio,BRANCA,4.599,4306,CIF,ROYAL FIC,07/01/2020,gasolina,Belo Horizonte,1073
POSTO ITATIAIA LTDA,"AVENIDA PROFESSOR CLOVIS SALGADO, 1865",Itatiaia,BRANCA,4.599,4301,CIF,ALESAT,06/01/2020,gasolina,Belo Horizonte,1073
POSTO DOM BOSCO LTDA,"RUA PADRE EUSTÁQUIO, 2556 0",Padre Eustáquio,RAIZEN,4.626,4466,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO MANACÁS LTDA,"AVENIDA PRESIDENTE TANCREDO NEVES, 1095 0",Castelo,IPIRANGA,4.627,-,-,-,06/01/2020,gasolina,Belo Horizonte,1073
ORGANIZAÇAO PETROMAR LTDA,"RUA MATO GROSSO, 212",Barro Preto,PETROBRAS DISTRIBUIDORA S.A.,4.64,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO BARRO PRETO LTDA,"RUA GOITACASES, 1376",Barro Preto,BRANCA,4.645,4343,CIF,TDC DISTRIBUIDORA,07/01/2020,gasolina,Belo Horizonte,1073
POSTO DE COMBUSTIVEL LUBRIMIL LTDA,"AVENIDA ABILIO MACHADO, 845",Dom Bosco,IPIRANGA,4.647,4401,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO VIA DO MINERIO LTDA,"AVENIDA WALDYR SOEIRO EMRICH, 3441",Santa Helena (barreiro),RAIZEN,4.647,-,-,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO LUPUS ISABEL BUENO LTDA,"RUA IZABEL BUENO, 139",Indaia,BRANCA,4.649,4309,CIF,RAIZEN,07/01/2020,gasolina,Belo Horizonte,1073
POSTO CAPITAL LTDA,"AVENIDA ABILIO MACHADO, 1772",Alipio de Mello,IPIRANGA,4.656000000000001,4533,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO SAO SEBASTIAO LTDA - ME,"AVENIDA SILVIANO BRANDAO, 662",Floresta,BRANCA,4.669,4410,CIF,IPIRANGA,07/01/2020,gasolina,Belo Horizonte,1073
POSTO AEROPORTO LTDA,"RUA PROFESSOR MAGALHAES PENIDO, 540",Sao Luiz (pampulha),PETROBRAS DISTRIBUIDORA S.A.,4.689,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
ALABASTRO POSTOS E SERVIÇOS LTDA.,"AVENIDA SILVIANO BRANDÃO, 1785",Floresta,RAIZEN,4.695,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO SERRANO LTDA,"AVENIDA ABILIO MACHADO, 3123",Serrano,PETROBRAS DISTRIBUIDORA S.A.,4.695,4460,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
COMERCIAL RACOL LTDA,"AVENIDA BRIGADEIRO EDUARDO GOMES, 1980",Gloria,BRANCA,4.697,4312,CIF,POTENCIAL,06/01/2020,gasolina,Belo Horizonte,1073
POSTO DAMASCO LTDA - ME,"AVENIDA PEDRO II, 1125",Carlos Prates,BRANCA,4.697,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO ASTRAL LTDA,"AVENIDA BRIG EDUARDO GOMES, 1025",Gloria,PETROBRAS DISTRIBUIDORA S.A.,4.697,4460,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
VIF COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA SARAMENHA, 1660",Guarani,RAIZEN,4.698,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA SARAMENHA, 1062",Tupi,RAIZEN,4.698,4441,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO ALLGAS LTDA,"AVENIDA SARAMENHA, 1500",Tupi,RAIZEN,4.698,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO DANUBIO LTDA,"RUA JACUI, 2300",Renascenca,RAIZEN,4.699,4507,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO DO PAPAI LTDA,"RUA FLAVIO DOS SANTOS, 459",Floresta,IPIRANGA,4.699,4379,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
ALMADA & CIA LIMITADA,"RUA JACUI, 3880",Ipiranga,IPIRANGA,4.699,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO MIRAGEM LTDA,"AVENIDA AMINTAS JACQUES MORAIS, 2065",Patrocinio,PETROBRAS DISTRIBUIDORA S.A.,4.699,4432,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
POSTO DO PAPAI LTDA,"RUA POUSO ALEGRE, 1500",Floresta,IPIRANGA,4.699,4398,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
AUTO POSTO VEM K LTDA,"AVENIDA PRESIDENTE TANCREDO NEVES, 3574",Paqueta,PETROBRAS DISTRIBUIDORA S.A.,4.7989999999999995,4500,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
COMERCIAL DIAS VIEIRA LTDA,"RODOVIA CAMILO TEIXEIRA DA COSTA, 555",Tupi B,IPIRANGA,4.7989999999999995,4446,CIF,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO COELHO LTDA,"AVENIDA ANTONIO CARLOS, 3550",Cachoeirinha,ALESAT,4.849,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
JR COMERCIO E PRESTACAO DE SERVICOS LTDA,"RUA IZABEL BUENO, 20",Universitario,IPIRANGA,4.897,-,-,-,07/01/2020,gasolina,Belo Horizonte,1073
POSTO SAO PAULO ATLANTIDA LTDA,"AVENIDA HERACLITO MOURAO DE MIRANDA, 1851 0",Serrano,PETROBRAS DISTRIBUIDORA S.A.,4.959,4421,CIF,-,06/01/2020,gasolina,Belo Horizonte,1073
EVE EMPREENDIMENTOS LTDA,"RUA SENA MADUREIRA, 390",Ouro Preto,PETROBRAS DISTRIBUIDORA S.A.,4.985,-,-,-,06/01/2020,gasolina,Belo Horizonte,1073
ALMADA & CIA LIMITADA,"RUA JACUI, 4040",Ipiranga,BRANCA,4.599,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
COMERCIAL DE PETROLEO VILARINHO LTDA,"AVENIDA VILARINHO, 1691",Venda Nova,BRANCA,4.599,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO SALAZAR LTDA,"RUA MINISTROOLIVEIRA SALAZAR, 770",Santa Monica,PETROBRAS DISTRIBUIDORA S.A.,4.619,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
AUTO POSTO MACPETRO LTDA,"RUA DOUTOR ALVARO CAMARGOS, 2216",Santa Monica,BRANCA,4.633,4287,CIF,TORRAO,15/01/2020,gasolina,Belo Horizonte,1074
DELMA - COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA VILARINHO, 3353",Leticia Distrito de Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.645,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO ANTUNES LTDA,"AVENIDA PORTUGAL, 2603",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.647,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO GABI LTDA,"AVENIDA VILARINHO, 2300",Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.647,4385,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO CAMOES LTDA,"AVENIDA PORTUGAL, 4611",Itapoa,PETROBRAS DISTRIBUIDORA S.A.,4.647,4385,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
CENTRO AUTOMOTIVO FALCAO LTDA - EPP,"AVENIDA GAL OLIMPIO MOURA FILHO, 835",Planalto,PETROBRAS DISTRIBUIDORA S.A.,4.647,4418,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO CHAVES LTDA - ME,"AVENIDA PORTUGAL, 2061",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.647,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO CENTER NORTE LTDA,"AVENIDA VILARINHO, 5360",Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.647,4361,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO JOCA LTDA,"AV. ANTONIO JOSE DOS SANTOS,609, S/N",Ceu Azul,PETROBRAS DISTRIBUIDORA S.A.,4.649,4394,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
AUTO POSTO VALE LTDA,"AVENIDA VILARINHO, 1146",Venda Nova,BRANCA,4.649,4289,CIF,RAIZEN,15/01/2020,gasolina,Belo Horizonte,1074
POSTO SANTO ONOFRE LTDA,"RUA ERICO VERISSIMO, 1645",Santa Monica,PETROBRAS DISTRIBUIDORA S.A.,4.649,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO TATIANA LTDA,"AVENIDA PEDRO I, 468",Jardim Atlantico,PETROBRAS DISTRIBUIDORA S.A.,4.649,4453,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO BRUNINHA LTDA,"AVENIDA DOM PEDRO I, 1680",Itapoa,IPIRANGA,4.649,4375,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
PLANALTO POSTO DE SERVIÇO LTDA,"AVENIDA DOUTOR CRISTIANO GUIMARÃES, 2329",Planalto,IPIRANGA,4.649,4381,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO ARAUJO COMERCIO E DISTRIBUICAO DE COMBUSTIVEIS E LUBRIFICANTES LTDA.,"AVENIDA AMERICO VESPUCIO, 809",Aparecida,PETROBRAS DISTRIBUIDORA S.A.,4.675,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO TUNEL LTDA,"AVENIDA CRISTIANO MACHADO, 71",Floresta,IPIRANGA,4.675,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
DGET COMBUSTIVEIS EIRELI,"RUA DOS ASTECAS, 2930",Santa Monica,BRANCA,4.688,4352,CIF,ROYAL FIC,15/01/2020,gasolina,Belo Horizonte,1074
POSTO MARIA AMELIA LTDA,"RUA MARIA AMELIA MAIA, 780",Sao Bernardo,RAIZEN,4.69,4385,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
AUTO POSTO MENDONCA LTDA,"AVENIDA CRISTIANO MACHADO, 2506",Cidade Nova,PETROBRAS DISTRIBUIDORA S.A.,4.6930000000000005,4385,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 8665",Dona Clara,RAIZEN,4.695,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
AUTO POSTO RIO BRANCO LTDA,"AVENIDA BERNARDA SILVESTRE, 115",Rio Brancoi,RAIZEN,4.695,4385,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO MINAS SHOPPING LTDA,"AVENIDA CRISTIANO MACHADO, 3400",Uniao,PETROBRAS DISTRIBUIDORA S.A.,4.697,4381,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
A CARABETTI & CIA LTDA,"AVENIDA CRISTIANO MACHADO, 2000",Cidade Nova,PETROBRAS DISTRIBUIDORA S.A.,4.697,4434,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
ORGANIZACOES GUALBERTO LTDA - EPP,"RUA MARIA GERTRUDES SANTOS, 293",Ceu Azul,PETROBRAS DISTRIBUIDORA S.A.,4.697,4390,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
GNV SETE BELO LTDA,"AVENIDA CRISTIANO MACHADO, 8898",Minaslandia,PETROBRAS DISTRIBUIDORA S.A.,4.697,4385,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
SOCIEDADE COMERCIAL CANAA LTDA,"RODOVIA PAPA JOAO PAULO II, 3614",Canaa,ALESAT,4.697,4308,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO BOA ESPERANCA LTDA.,"RODOVIA PAPA JOAO PAULO II, 3031",Serra Verde,ALESAT,4.697,4311,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
GAS BRAS LTDA,"RODOVIA PAPA JOAO PAULO II, 400",Satelite,ALESAT,4.697,4308,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO DE COMBUSTIVEL PASSARELA LTDA,"AVENIDA CRISTIANO MACHADO, 2525",Silveira,IPIRANGA,4.697,4375,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO CM LTDA,"AVENIDA CRISTIANO MACHADO, 3050 0",União,RAIZEN,4.697,4449,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO MARIO WERNECK LIMITADA,"AVENIDA CRISTIANO MACHADO, 9292",Dona Clara,IPIRANGA,4.697,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO WAP CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 9434",Minaslandia (p Maio),RAIZEN,4.697,4469,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO CATEDRAL LTDA,"AVENIDA CRISTIANO MACHADO, 11100",Vila Cloris,RAIZEN,4.697,4422,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,PETROBRAS DISTRIBUIDORA S.A.,4.698,4490,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO CN LTDA,"AVENIDA CRISTIANO MACHADO, 1383",Da Graca,RAIZEN,4.699,-,-,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO ENTRADA OBRIGATÓRIA LTDA,"AVENIDA PORTUGAL, 4260",Jardim Atlântico,IPIRANGA,4.699,4421,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO SAO BERNARDO LTDA,"AVENIDA CRISTIANO MACHADO, 9505",Dona Clara,IPIRANGA,4.699,4408,CIF,-,14/01/2020,gasolina,Belo Horizonte,1074
POSTO GUARAPARI LTDA,"AVENIDA GUARAPARI, 1201 LOTE 15 E 16",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.699,4480,CIF,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO ATLANTICO LTDA,"AVENIDA PORTUGAL, 150",Jardim Atlantico,IPIRANGA,4.747,-,-,-,15/01/2020,gasolina,Belo Horizonte,1074
POSTO BEAGAS GNV LTDA.,"AVENIDA DOM PEDRO II, 4685",Jardim Montanhes,RAIZEN,4.566,4388,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO OLIMAR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA TEREZA CRISTINA, 2350",Padre Eustaquio,IPIRANGA,4.5969999999999995,-,-,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO OCEANO LTDA,"AVENIDA DO CONTORNO, 10325",Barro Preto,RAIZEN,4.5969999999999995,4402,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO JUPITER LTDA,"AVENIDA TEREZA CRISTINA, 2850",Padre Eustaquio,PETROBRAS DISTRIBUIDORA S.A.,4.5969999999999995,4351,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO PRISMA LTDA,"AVENIDA VER. CICERO ILDEFONSO, 684",Joao Pinheiro,IPIRANGA,4.598,4363,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO QUICK LTDA,"AVENIDA CORONEL JOSE BENJAMIM, 17",Padre Eustaquio,RAIZEN,4.599,4399,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 4055 PARTE",Engenheiro Nogueira,RAIZEN,4.599,-,-,-,22/01/2020,gasolina,Belo Horizonte,1075
POSTO DE COMBUSTIVEL TEREZA CRISTINA LTDA,"AVENIDA TEREZA CRISTINA, 820",Carlos Prates,RAIZEN,4.599,-,-,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO FENIX ESTORIL LTDA,"AVENIDA AMAZONAS, 4808",Nova Suissa,RAIZEN,4.61,4365,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO PIO XII LTDA.,"AVENIDA DO CONTORNO, 9008",Santo Agostinho,RAIZEN,4.61,4365,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO BH LTDA - ME,"AVENIDA DOS ANDRADAS, 1350",Centro,PETROBRAS DISTRIBUIDORA S.A.,4.6160000000000005,4378,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO LESTE OESTE LTDA,"AVENIDA TEREZA CRISTINA, 1795",Calafate,PETROBRAS DISTRIBUIDORA S.A.,4.617,4414,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO DE COMBUSTÍVEIS SANTO AGOSTINHO LTDA.,"AVENIDA AMAZONAS, 2381",Santo Agostinho,BRANCA,4.625,4257,CIF,TORRAO,20/01/2020,gasolina,Belo Horizonte,1075
POSTO LESTE LTDA,"AVENIDA DOS ANDRADAS, 3300",Santa Efigenia,PETROBRAS DISTRIBUIDORA S.A.,4.626,-,-,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO VILA ESTACAO LTDA,"RUA DOS TUPINAMBAS, 115",Centro,IPIRANGA,4.626,4350,CIF,-,20/01/2020,gasolina,Belo Horizonte,1075
ROL COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA ANDRADAS, 3520",Pompeia,PETROBRAS DISTRIBUIDORA S.A.,4.626,-,-,-,20/01/2020,gasolina,Belo Horizonte,1075
POSTO VILA NOSSA SENHORA DE FATIMA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 2.401",Carlos Prates,IPIRANGA,4.627,4350,CIF,-,22/01/2020,gasolina,Belo Horizonte,1075
