razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
BRESCIA COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR 381, 931 KM 800",Amazonas,PETROBRAS DISTRIBUIDORA S.A.,4.547,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401",Jardim Industrial,BRANCA,4.567,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO TROVAO LTDA,"AVENIDA TITO FULGENCIO, 1189",Jardim Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.567,4238,CIF,-,11/03/2020,gasolina,Contagem,1082
POSTO QUATRO RODAS LTDA,"AVENIDA TITO FULGENCIO, 950",Jardim Industrial,IPIRANGA,4.567,-,-,-,11/03/2020,gasolina,Contagem,1082
WMS SUPERMERCADOS DO BRASIL LTDA.,"AVENIDA GENERAL DAVID SARNOFF, 5350 ANEXO: SUPERCENTER;",Cidade Industrial,RAIZEN,4.579,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,RAIZEN,4.596,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288",Distrito Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO DE COMBUSTIVEL VIA LTDA,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,IPIRANGA,4.599,4333,CIF,-,11/03/2020,gasolina,Contagem,1082
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,IPIRANGA,4.395,4201,CIF,-,19/03/2020,gasolina,Contagem,1083
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,BRANCA,4.399,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,IPIRANGA,4.399,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO DO BETO LTDA,"AVENIDA DAS AMERICAS, 894",Kenedy,BRANCA,4.425,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,RAIZEN,4.435,4131,CIF,-,19/03/2020,gasolina,Contagem,1083
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,PETROBRAS DISTRIBUIDORA S.A.,4.447,4124,CIF,-,19/03/2020,gasolina,Contagem,1083
