data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2008-03-16,2008-03-22,2.496,0.16,2.059,3.3,,,nacional
2008-03-23,2008-03-29,2.488,0.16,2.059,3.3,,,nacional
2008-03-30,2008-04-05,2.498,0.16,2.059,3.3,,,nacional
2008-04-06,2008-04-12,2.495,0.159,2.099,3.35,,,nacional
2008-04-13,2008-04-19,2.488,0.162,2.099,3.3,,,nacional
2008-04-20,2008-04-26,2.494,0.161,2.11,3.3,,,nacional
2008-04-27,2008-05-03,2.49,0.162,2.08,3.3,,,nacional
2008-05-04,2008-05-10,2.49,0.161,2.089,3.35,,,nacional
2008-05-11,2008-05-17,2.496,0.16,1.95,3.35,,,nacional
2008-05-18,2008-05-24,2.495,0.16,2.08,3.3,,,nacional
2008-05-25,2008-05-31,2.494,0.161,2.08,3.3,,,nacional
2008-06-01,2008-06-07,2.486,0.162,2.08,3.3,,,nacional
2008-06-08,2008-06-14,2.49,0.162,2.075,3.3,,,nacional
2008-06-15,2008-06-21,2.491,0.159,2.07,3.3,,,nacional
2008-06-22,2008-06-28,2.492,0.16,2.069,3.3,,,nacional
2008-06-29,2008-07-05,2.492,0.16,2.049,3.3,,,nacional
2008-07-06,2008-07-12,2.502,0.159,2.069,3.3,,,nacional
2008-07-13,2008-07-19,2.497,0.16,2.07,3.3,,,nacional
2008-07-20,2008-07-26,2.494,0.16,2.069,3.3,,,nacional
2008-07-27,2008-08-02,2.492,0.162,2.07,3.3,,,nacional
2008-08-03,2008-08-09,2.499,0.16,2.069,3.3,,,nacional
2008-08-10,2008-08-16,2.498,0.161,2.089,3.3,,,nacional
2008-08-17,2008-08-23,2.501,0.159,2.089,3.3,,,nacional
2008-08-24,2008-08-30,2.502,0.157,2.099,3.3,,,nacional
2008-08-31,2008-09-06,2.51,0.156,2.099,3.3,,,nacional
2008-09-07,2008-09-13,2.507,0.155,2.157,3.3,,,nacional
2008-09-14,2008-09-20,2.504,0.156,2.149,3.3,,,nacional
2008-09-21,2008-09-27,2.504,0.155,2.149,3.33,,,nacional
2008-09-28,2008-10-04,2.503,0.157,2.0,3.33,,,nacional
2008-10-05,2008-10-11,2.503,0.156,1.39,3.33,,,nacional
2008-10-12,2008-10-18,2.509,0.154,2.139,3.33,,,nacional
2008-10-19,2008-10-25,2.512,0.151,2.157,3.33,,,nacional
2008-10-26,2008-11-01,2.515,0.152,2.157,3.33,,,nacional
2008-11-02,2008-11-08,2.515,0.15,2.157,3.33,,,nacional
2008-11-09,2008-11-15,2.513,0.151,2.18,3.33,,,nacional
