data,gasolina,indice geral,cesta,gasolina_ajustada,ipca_ajustado
2008-10-01,0.37,0.18,222.71,1.1088783537912152,1.2309806261185758
2008-11-01,-0.3,0.38,225.4,1.1055517187298416,1.2356583524978264
2008-12-01,-0.37,0.37,230.25,1.1014611773705412,1.2402302884020684
2009-01-01,0.47,1.12,232.03,1.1066380449041826,1.2541208676321718
2009-02-01,-0.05,0.73,217.27,1.1060847258817306,1.2632759499658868
2009-03-01,-0.51,0.09,206.59,1.1004436937797337,1.264412898320856
2009-04-01,-1.06,0.43,214.55,1.0887789906256684,1.2698498737836357
2009-05-01,0.44,0.5,216.09,1.0935696181844212,1.2761991231525538
2009-06-01,-2.22,0.06,218.18,1.069292372660727,1.2769648426264453
2009-07-01,1.58,0.05,214.55,1.0861871921487667,1.2776033250477585
2009-08-01,1.46,0.13,213.51,1.1020455251541386,1.2792642093703208
2009-09-01,-0.71,0.27,215.42,1.0942210019255443,1.2827182227356206
2009-10-01,1.64,0.24,220.52,1.1121662263571233,1.285796746470186
2009-11-01,0.84,0.45,225.33,1.121508422658523,1.291582831829302
2009-12-01,-0.35,0.52,213.97,1.1175831431792183,1.2982990625548143
2010-01-01,1.24,0.53,205.69,1.1314411741546406,1.3051800475863549
2010-02-01,1.93,0.77,216.51,1.1532779888158253,1.3152299339527698
2010-03-01,-0.38,0.81,224.37,1.1488955324583252,1.3258832964177871
2010-04-01,-0.5,0.66,239.06,1.1431510547960335,1.3346341261741443
2010-05-01,-0.89,0.38,240.47,1.1329770104083488,1.3397057358536062
2010-06-01,-0.78,0.05,231.54,1.1241397897271637,1.340375588721533
2010-07-01,-0.31,-0.06,217.97,1.1206549563790094,1.3395713633683
2010-08-01,-0.18,0.04,213.81,1.1186377774575271,1.3401071919136471
2010-09-01,0.17,0.42,217.66,1.120539461679205,1.3457356421196844
2010-10-01,1.44,1.03,229.64,1.1366752299273855,1.3595967192335172
2010-11-01,0.16,0.72,235.83,1.1384939102952694,1.3693858156119987
2010-12-01,0.87,0.35,236.24,1.1483988073148381,1.3741786659666408
2011-01-01,2.61,1.15,244.12,1.1783720161857554,1.3899817206252574
2011-02-01,1.93,0.71,246.63,1.2011145960981406,1.399850590841697
2011-03-01,2.34,0.88,248.77,1.2292206776468373,1.4121692760411038
2011-04-01,7.08,0.5,247.03,1.3162495016242333,1.419230122421309
2011-05-01,2.0,0.7,247.23,1.342574491656718,1.429164733278258
2011-06-01,-2.98,0.24,248.06,1.3025657718053476,1.4325947286381258
2011-07-01,-0.45,0.11,245.09,1.2967042258322237,1.4341705828396278
2011-08-01,1.46,0.45,249.48,1.315636107529374,1.4406243504624061
2011-09-01,0.93,0.6,250.96,1.3278715233293974,1.4492680965651805
2011-10-01,-0.79,0.51,252.2,1.3173813382950952,1.456659363857663
2011-11-01,0.09,0.31,256.7,1.3185669814995606,1.461175007885622
2011-12-01,-0.35,0.43,264.01,1.3139519970643123,1.4674580604195302
2012-01-01,-0.16,0.66,268.07,1.3118496738690093,1.477143283618299
2012-02-01,-0.4,0.59,264.28,1.3066022751735333,1.485858428991647
2012-03-01,0.15,0.39,260.93,1.3085621785862938,1.4916532768647144
2012-04-01,-0.28,0.55,258.78,1.304898204486252,1.4998573698874704
2012-05-01,-0.06,0.65,264.95,1.3041152655635602,1.5096064427917388
2012-06-01,-0.58,0.07,265.9,1.2965513970232916,1.510663167301693
2012-07-01,-0.13,0.39,288.26,1.2948658802071613,1.5165547536541697
2012-08-01,0.17,0.37,286.35,1.2970671522035135,1.5221660062426903
2012-09-01,-0.5,0.65,295.6,1.290581816442496,1.5320600852832678
2012-10-01,0.93,0.47,290.61,1.3025842273354113,1.539260767684099
2012-11-01,-0.24,0.56,282.82,1.2994580251898065,1.54788062798313
2012-12-01,0.27,0.52,290.88,1.3029665618578188,1.5559296072486426
2013-01-01,-0.32,0.73,299.79,1.2987970688598738,1.5672878933815577
2013-02-01,3.44,0.84,313.48,1.3434756880286534,1.5804531116859628
2013-03-01,0.05,0.63,323.97,1.3441474258726676,1.5904099662895843
2013-04-01,-0.5,0.64,324.53,1.3374266887433042,1.6005885900738377
2013-05-01,-0.36,0.47,314.78,1.3326119526638283,1.6081113564471845
2013-06-01,-0.68,0.2,308.48,1.3235501913857142,1.611327579160079
2013-07-01,-0.58,0.05,293.48,1.315873600275677,1.6121332429496589
2013-08-01,-0.6,0.0,290.54,1.307978358674023,1.6121332429496589
2013-09-01,-1.12,0.3,295.96,1.2933290010568739,1.6169696426785076
2013-10-01,0.01,0.42,302.76,1.2934583339569796,1.6237609151777572
2013-11-01,-0.06,0.53,310.84,1.2926822589566054,1.6323668480281994
2013-12-01,4.25,0.8,312.25,1.347621254962261,1.645425782812425
2014-01-01,0.53,0.65,306.01,1.3547636476135612,1.6561210504007058
2014-02-01,0.24,0.73,308.16,1.3580150803678337,1.6682107340686312
2014-03-01,0.49,0.78,307.18,1.364669354261636,1.6812227777943665
2014-04-01,0.02,0.75,342.49,1.3649422881324882,1.6938319486278244
2014-05-01,-0.16,0.67,345.14,1.3627583804714762,1.7051806226836306
2014-06-01,-0.26,0.42,319.84,1.3592152086822504,1.7123423812989018
2014-07-01,-0.08,0.03,308.35,1.3581278365153047,1.7128560840132914
2014-08-01,-0.14,-0.02,303.5,1.3562264575441834,1.7125135127964888
2014-09-01,-0.88,0.46,303.54,1.3442916647177945,1.7203910749553526
2014-10-01,0.29,0.37,307.5,1.3481901105454759,1.7267565219326875
2014-11-01,1.55,0.41,309.56,1.3690870572589309,1.7338362236726115
2014-12-01,1.15,0.44,316.06,1.3848315584174087,1.741465103056771
2015-01-01,0.26,1.07,337.57,1.3884321204692938,1.7600987796594783
2015-02-01,8.54,1.08,341.72,1.5070042235573713,1.7791078464798005
2015-03-01,2.96,1.48,343.22,1.5516115485746695,1.8054386426077014
2015-04-01,0.37,0.65,348.36,1.5573525113043958,1.8171739937846514
2015-05-01,-0.75,0.71,355.92,1.545672367469613,1.8300759291405226
2015-06-01,0.29,0.72,338.76,1.5501548173352746,1.8432524758303346
2015-07-01,-0.78,0.64,345.02,1.5380636097600595,1.8550492916756487
2015-08-01,-0.21,0.05,337.42,1.5348336761795633,1.8559768163214865
2015-09-01,0.06,0.41,338.19,1.535754576385271,1.8635863212684045
2015-10-01,5.93,0.62,338.61,1.6268248227649174,1.8751405564602686
2015-11-01,2.22,0.84,362.19,1.6629403338302986,1.8908917371345348
2015-12-01,1.43,0.58,376.91,1.6867203806040718,1.9018589092099152
2015-12-01,1.43,0.58,370.49,1.71084048204671,1.9128896908833328
2016-01-01,1.04,1.19,417.72,1.7286332230599957,1.9356530782048444
2016-02-01,1.73,0.99,400.29,1.7585385778189337,1.9548160436790725
2016-03-01,0.46,0.49,408.84,1.7666278552769008,1.9643946422930998
2016-04-01,-0.36,0.71,399.24,1.7602679949979039,1.978341844253381
2016-05-01,-1.66,0.78,408.5,1.7310475462809387,1.9937729106385575
2016-06-01,-0.24,0.66,425.82,1.7268930321698646,2.006931811848772
2016-07-01,-0.58,0.63,423.1,1.7168770525832793,2.019575482263419
2016-08-01,0.68,0.3,429.64,1.7285518165408453,2.0256342087102093
2016-09-01,-1.94,-0.06,421.55,1.695017911299953,2.024418828184983
2016-10-01,2.04,0.33,418.47,1.729596276690472,2.0310994103179936
2016-11-01,0.07,0.16,400.9,1.7308069940841553,2.0343491693745026
2016-12-01,1.85,0.24,394.66,1.762826923474712,2.0392316073810015
2017-01-01,2.28,0.64,389.69,1.8030193773299354,2.05228268966824
2017-02-01,-0.81,0.34,377.66,1.7884149203735629,2.059260450813112
2017-03-01,-2.21,-0.04,385.57,1.748890950633307,2.0584367466327866
2017-04-01,-2.71,-0.08,397.36,1.7014960058711444,2.05678999723548
2017-05-01,-0.69,0.21,390.6,1.6897556834306335,2.0611092562296744
2017-06-01,-1.86,-0.48,374.87,1.6583262277188238,2.051215931799772
2017-07-01,1.08,0.31,383.69,1.676236150978187,2.0575747011883516
2017-08-01,8.33,0.3,365.05,1.8158666223546698,2.0637474252919166
2017-09-01,2.69,0.24,361.82,1.8647134344960103,2.0687004191126173
2017-10-01,0.33,0.34,365.89,1.8708669888298473,2.0757340005376004
2017-11-01,-0.41,-0.08,359.71,1.8631964341756448,2.07407341333717
2017-12-01,2.83,0.33,361.61,1.9159248932628157,2.080917855601183
2018-01-01,6.33,0.36,380.02,2.0372029390063515,2.0884091598813477
2018-02-01,1.86,0.33,381.9,2.0750949136718697,2.095300910108956
2018-03-01,0.44,0.23,378.13,2.084225331292026,2.1001201022022067
2018-04-01,0.75,0.22,376.58,2.099857021276716,2.1047403664270514
2018-05-01,2.7,0.18,375.11,2.156553160851187,2.10852889908662
2018-06-01,6.66,1.86,373.92,2.3001796013638764,2.1477475366096312
2018-07-01,-1.92,0.18,363.28,2.25601615301769,2.1516134821755286
2018-08-01,-1.33,-0.01,357.93,2.2260111381825545,2.1513983208273113
2018-09-01,3.29,0.27,358.83,2.2992469046287605,2.157207096293545
2018-10-01,1.26,0.41,372.77,2.3282174156270825,2.1660516453883485
2018-11-01,-2.82,-0.09,401.9,2.262561684506399,2.164102198907499
2018-12-01,-3.99,0.01,408.71,2.1722854732945933,2.16431860912739
2019-01-01,-1.98,0.7,405.4,2.12927422092336,2.1794688393912813
2019-02-01,-0.51,0.51,425.0,2.118414922396651,2.190584130472177
2019-03-01,2.58,0.29,443.26,2.173070027394485,2.196936824450546
2019-04-01,2.47,0.42,456.91,2.226744857071129,2.2061639591132383
2019-05-01,2.83,0.21,424.85,2.2897617365262417,2.2107969034273762
2019-06-01,-2.56,0.14,429.3,2.23114383607117,2.213892019092175
2019-07-01,-3.05,0.23,415.03,2.1630939490709995,2.2189839707360868
2019-08-01,-0.6,0.13,401.14,2.1501153853765733,2.221868649898044
2019-09-01,0.17,-0.18,390.93,2.1537705815317136,2.2178692863282277
2019-10-01,1.39,0.17,391.85,2.1837079926150045,2.221639664114986
2019-11-01,0.59,0.46,393.58,2.196591869771433,2.2318592065699145
2019-12-01,2.35,1.05,444.91,2.248211778711062,2.2552937282388985
