razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
POSTO ITATIAIA LTDA,"AVENIDA PROFESSOR CLOVIS SALGADO, 1865","endereco: AVENIDA PROFESSOR CLOVIS SALGADO, 1865<br>bairro: Itatiaia<br>cidade: Belo Horizonte<br>endereço: R. Padre Eustáquio, 2556 - Padre Eustáquio, Belo Horizonte - MG, 30720-100, Brazil<br>longitude: -43.9766902<br>latitude: -19.9148578",POINT Z (-43.9766902 -19.9148578 0),-19.9148578,-43.9766902,2020-06-01,4.599,"(4.498, 4.639]"
POSTO JAMBREIRO LTDA,"RODOVIA MG 30 KM 18,","endereco: RODOVIA MG 30 KM 18,<br>bairro: Ouro Velho Mansoes<br>cidade: Nova Lima<br>endereço: Rod. Januário Carneiro, 1709 - Res. Europa, Nova Lima - MG, 34004-703, Brazil<br>longitude: -43.8937791<br>latitude: -19.9988213",POINT Z (-43.8937791 -19.9988213 0),-19.9988213,-43.8937791,2020-12-02,4.857,"(4.778, 4.918]"
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401","endereco: AVENIDA TITO FULGENCIO, 401<br>bairro: Jardim Industrial<br>cidade: Contagem<br>endereço: Av. Tito Fulgêncio, 401 - Jardim Industrial, Contagem - MG, 32215, Brazil<br>longitude: -44.0159738<br>latitude: -19.9616422",POINT Z (-44.0159738 -19.9616422 0),-19.9616422,-44.0159738,2020-11-03,4.657,"(4.639, 4.778]"
POSTO JAVARI EIRELI,"RUA DESCALVADO, 661","endereco: RUA DESCALVADO, 661<br>bairro: Cachoeirinha<br>cidade: Belo Horizonte<br>endereço: R. Pouso Alegre, 1075 - Floresta, Belo Horizonte - MG, 31015-215, Brazil<br>longitude: -43.9296221<br>latitude: -19.9120011",POINT Z (-43.9296221 -19.9120011 0),-19.9120011,-43.9296221,2020-07-01,4.555,"(4.498, 4.639]"
POSTO JC LTDA - EPP,"AV. PRINCESA ISABEL, 682","endereco: AV. PRINCESA ISABEL, 682<br>bairro: Parque Recreio<br>cidade: Contagem<br>endereço: Av. Princesa Isabel, 682 - Parque Recreio, Contagem - MG, 32110-000, Brazil<br>longitude: -44.0193783<br>latitude: -19.8854587",POINT Z (-44.0193783 -19.8854587 0),-19.8854587,-44.0193783,2020-06-02,4.6389999999999985,"(4.639, 4.778]"
POSTO JOAO PAULO II LTDA - ME,"AV JOÃO XXIII, 540","endereco: AV JOÃO XXIII, 540<br>bairro: Alípio de Melo<br>cidade: Belo Horizonte<br>endereço: Av. João XXIII, 540 - Alípio de Melo, Belo Horizonte - MG, 30820-660, Brazil<br>longitude: -44.0005823<br>latitude: -19.8995829",POINT Z (-44.0005823 -19.8995829 0),-19.8995829,-44.0005823,2020-03-19,4.666,"(4.639, 4.778]"
POSTO JOCA LTDA,"AV. ANTONIO JOSE DOS SANTOS,609, S/N","endereco: AV. ANTONIO JOSE DOS SANTOS,609, S/N<br>bairro: Ceu Azul<br>cidade: Belo Horizonte<br>endereço: R. Antônio José dos Santos, 609 - S/N - Céu Azul, Belo Horizonte - MG, 31580-000, Brazil<br>longitude: -43.9973855<br>latitude: -19.819634",POINT Z (-43.9973855 -19.819634 0),-19.819634,-43.9973855,2020-11-02,4.649,"(4.639, 4.778]"
POSTO JR DE BETIM LTDA,"AVENIDA JUIZ MARCO TULIO ISAAC, 5605","endereco: AVENIDA JUIZ MARCO TULIO ISAAC, 5605<br>bairro: Jd das Alterosas<br>cidade: Betim<br>endereço: Av. Juiz Marco Túlio Isaac, 5605 - Jardim Alterosa, Betim - MG, 32671-305, Brazil<br>longitude: -44.1605737<br>latitude: -19.9431285",POINT Z (-44.1605737 -19.9431285 0),-19.9431285,-44.1605737,2020-03-16,4.599,"(4.498, 4.639]"
POSTO JUPITER LTDA,"AVENIDA TEREZA CRISTINA, 2850","endereco: AVENIDA TEREZA CRISTINA, 2850<br>bairro: Padre Eustaquio<br>cidade: Belo Horizonte<br>endereço: Av. Tereza Cristina, 2850 - Coração Eucarístico, Belo Horizonte - MG, 30535-485, Brazil<br>longitude: -43.97943<br>latitude: -19.92307",POINT Z (-43.97943 -19.92307 0),-19.92307,-43.97943,2020-03-18,4.597,"(4.498, 4.639]"
POSTO LESTE LTDA,"AVENIDA DOS ANDRADAS, 3300","endereco: AVENIDA DOS ANDRADAS, 3300<br>bairro: Santa Efigenia<br>cidade: Belo Horizonte<br>endereço: Av. dos Andradas, 3300 - Centro, Belo Horizonte - MG, 30120-010, Brazil<br>longitude: -43.914097<br>latitude: -19.9198817",POINT Z (-43.914097 -19.9198817 0),-19.9198817,-43.914097,2020-03-18,4.626,"(4.498, 4.639]"
